node,node_ip,fabric,switch,interface,vrf,last_seen
ai-infer-13,10.40.20.159,dc2,dc2-leaf-202,Eth1/25,k8s-infer,
ai-infer-14,10.40.20.114,dc2,dc2-leaf-208,Eth1/23,k8s-infer,
ai-infer-15,10.40.20.52,dc2,dc2-leaf-203,Eth1/31,k8s-infer,
ai-infer-16,10.40.19.139,dc2,dc2-leaf-201,Eth1/15,k8s-infer,
gen-node-01,10.40.22.29,dc2,dc2-leaf-208,Eth1/26,k8s-gen,
gen-node-02,10.40.21.69,dc2,dc2-leaf-202,Eth1/29,k8s-gen,
gen-node-03,10.40.21.42,dc2,dc2-leaf-207,Eth1/1,k8s-gen,
gen-node-04,10.40.22.172,dc2,dc2-leaf-203,Eth1/26,k8s-gen,
gen-node-05,10.40.22.193,dc2,dc2-leaf-203,Eth1/38,k8s-gen,
gen-node-06,10.40.22.37,dc2,dc2-leaf-208,Eth1/31,k8s-gen,
gen-node-07,10.40.22.88,dc2,dc2-leaf-207,Eth1/6,k8s-gen,
gen-node-08,10.40.22.102,dc2,dc2-leaf-207,Eth1/8,k8s-gen,
gen-node-09,10.40.22.145,dc2,dc2-leaf-203,Eth1/25,k8s-gen,
gen-node-10,10.40.22.182,dc2,dc2-leaf-204,Eth1/41,k8s-gen,
gen-node-11,10.40.22.170,dc2,dc2-leaf-208,Eth1/29,k8s-gen,
gen-node-12,10.40.22.61,dc2,dc2-leaf-204,Eth1/42,k8s-gen,
gen-node-13,10.40.22.60,dc2,dc2-leaf-201,Eth1/4,k8s-gen,
gen-node-14,10.40.21.34,dc2,dc2-leaf-204,Eth1/43,k8s-gen,
gen-node-15,10.40.22.119,dc2,dc2-leaf-207,Eth1/20,k8s-gen,
gen-node-16,10.40.22.72,dc2,dc2-leaf-208,Eth1/16,k8s-gen,
gen-node-17,10.40.21.148,dc2,dc2-leaf-203,Eth1/8,k8s-gen,
gen-node-18,10.40.21.16,dc2,dc2-leaf-206,Eth1/10,k8s-gen,
gen-node-19,10.40.22.14,dc2,dc2-leaf-208,Eth1/14,k8s-gen,
gen-node-20,10.40.22.177,dc2,dc2-leaf-205,Eth1/22,k8s-gen,
gen-node-21,10.40.21.163,dc2,dc2-leaf-203,Eth1/16,k8s-gen,
gen-node-22,10.40.22.217,dc2,dc2-leaf-203,Eth1/34,k8s-gen,
gen-node-23,10.40.22.123,dc2,dc2-leaf-207,Eth1/22,k8s-gen,
gen-node-24,10.40.21.91,dc2,dc2-leaf-204,Eth1/39,k8s-gen,
gen-node-25,10.40.21.18,dc2,dc2-leaf-204,Eth1/12,k8s-gen,
gen-node-26,10.40.21.45,dc2,dc2-leaf-201,Eth1/47,k8s-gen,
gen-node-27,10.40.22.80,dc2,dc2-leaf-202,Eth1/17,k8s-gen,
gen-node-28,10.40.21.144,dc2,dc2-leaf-203,Eth1/20,k8s-gen,
gen-node-29,10.40.21.140,dc2,dc2-leaf-203,Eth1/15,k8s-gen,
gen-node-30,10.40.22.13,dc2,dc2-leaf-205,Eth1/17,k8s-gen,
gen-node-31,10.40.22.142,dc2,dc2-leaf-201,Eth1/38,k8s-gen,
gen-node-32,10.40.22.90,dc2,dc2-leaf-202,Eth1/27,k8s-gen,
gen-node-33,10.40.21.216,dc2,dc2-leaf-201,Eth1/3,k8s-gen,
gen-node-34,10.40.22.120,dc2,dc2-leaf-203,Eth1/9,k8s-gen,
gen-node-35,10.40.22.168,dc2,dc2-leaf-204,Eth1/8,k8s-gen,
gen-node-36,10.40.21.65,dc2,dc2-leaf-202,Eth1/44,k8s-gen,
gen-node-37,10.40.22.148,dc2,dc2-leaf-203,Eth1/46,k8s-gen,
gen-node-38,10.40.21.67,dc2,dc2-leaf-201,Eth1/18,k8s-gen,
gen-node-39,10.40.21.87,dc2,dc2-leaf-203,Eth1/7,k8s-gen,
gen-node-40,10.40.21.49,dc2,dc2-leaf-204,Eth1/20,k8s-gen,
