workload,namespace,kind,owner,team,tier,data_class,description
ai-infer/quota-service,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,quota service in ai-infer
ai-infer/serve-llm-70b-01,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 70b 01 in ai-infer
ai-infer/serve-llm-7b-01,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7b 01 in ai-infer
ai-infer/serve-llm-7712-01,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7712 01 in ai-infer
ai-infer/serve-code-13b-01,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve code 13b 01 in ai-infer
ai-infer/serve-vision-2b-01,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve vision 2b 01 in ai-infer
ai-infer/serve-asr-1b-01,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve asr 1b 01 in ai-infer
ai-infer/serve-embed-l-01,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve embed l 01 in ai-infer
ai-infer/serve-rerank-s-01,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve rerank s 01 in ai-infer
ai-infer/serve-guard-3b-01,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve guard 3b 01 in ai-infer
ai-infer/serve-summ-8b-01,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve summ 8b 01 in ai-infer
ai-infer/serve-llm-70b-02,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 70b 02 in ai-infer
ai-infer/serve-llm-7b-02,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7b 02 in ai-infer
ai-infer/serve-llm-7712-02,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7712 02 in ai-infer
ai-infer/serve-code-13b-02,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve code 13b 02 in ai-infer
ai-infer/serve-vision-2b-02,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve vision 2b 02 in ai-infer
ai-infer/serve-asr-1b-02,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve asr 1b 02 in ai-infer
ai-infer/serve-embed-l-02,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve embed l 02 in ai-infer
ai-infer/serve-rerank-s-02,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve rerank s 02 in ai-infer
ai-infer/serve-guard-3b-02,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve guard 3b 02 in ai-infer
ai-infer/serve-summ-8b-02,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve summ 8b 02 in ai-infer
ai-infer/serve-llm-70b-03,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 70b 03 in ai-infer
ai-infer/serve-llm-7b-03,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7b 03 in ai-infer
ai-infer/serve-llm-7712-03,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7712 03 in ai-infer
ai-infer/serve-code-13b-03,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve code 13b 03 in ai-infer
ai-infer/serve-vision-2b-03,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve vision 2b 03 in ai-infer
ai-infer/serve-asr-1b-03,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve asr 1b 03 in ai-infer
ai-infer/serve-embed-l-03,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve embed l 03 in ai-infer
ai-infer/serve-rerank-s-03,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve rerank s 03 in ai-infer
ai-infer/serve-guard-3b-03,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve guard 3b 03 in ai-infer
ai-infer/serve-summ-8b-03,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve summ 8b 03 in ai-infer
ai-infer/serve-llm-70b-04,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 70b 04 in ai-infer
ai-infer/serve-llm-7b-04,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7b 04 in ai-infer
ai-infer/serve-llm-7712-04,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7712 04 in ai-infer
ai-infer/serve-code-13b-04,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve code 13b 04 in ai-infer
ai-infer/serve-vision-2b-04,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve vision 2b 04 in ai-infer
ai-infer/serve-asr-1b-04,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve asr 1b 04 in ai-infer
ai-infer/serve-embed-l-04,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve embed l 04 in ai-infer
ai-infer/serve-rerank-s-04,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve rerank s 04 in ai-infer
ai-infer/serve-guard-3b-04,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve guard 3b 04 in ai-infer
ai-infer/serve-summ-8b-04,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve summ 8b 04 in ai-infer
ai-infer/serve-llm-70b-05,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 70b 05 in ai-infer
ai-infer/serve-llm-7b-05,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7b 05 in ai-infer
ai-infer/serve-llm-7712-05,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7712 05 in ai-infer
ai-infer/serve-code-13b-05,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve code 13b 05 in ai-infer
ai-infer/serve-vision-2b-05,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve vision 2b 05 in ai-infer
ai-infer/serve-asr-1b-05,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve asr 1b 05 in ai-infer
ai-infer/serve-embed-l-05,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve embed l 05 in ai-infer
ai-infer/serve-rerank-s-05,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve rerank s 05 in ai-infer
ai-infer/serve-guard-3b-05,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve guard 3b 05 in ai-infer
ai-infer/serve-summ-8b-05,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve summ 8b 05 in ai-infer
ai-infer/serve-llm-70b-06,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 70b 06 in ai-infer
ai-infer/serve-llm-7b-06,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7b 06 in ai-infer
ai-infer/serve-llm-7712-06,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7712 06 in ai-infer
ai-infer/serve-code-13b-06,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve code 13b 06 in ai-infer
ai-infer/serve-vision-2b-06,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve vision 2b 06 in ai-infer
ai-infer/serve-asr-1b-06,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve asr 1b 06 in ai-infer
ai-infer/serve-embed-l-06,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve embed l 06 in ai-infer
ai-infer/serve-rerank-s-06,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve rerank s 06 in ai-infer
ai-infer/serve-guard-3b-06,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve guard 3b 06 in ai-infer
ai-infer/serve-summ-8b-06,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve summ 8b 06 in ai-infer
ai-infer/serve-llm-70b-07,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 70b 07 in ai-infer
ai-infer/serve-llm-7b-07,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7b 07 in ai-infer
ai-infer/serve-llm-7712-07,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7712 07 in ai-infer
ai-infer/serve-code-13b-07,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve code 13b 07 in ai-infer
ai-infer/serve-vision-2b-07,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve vision 2b 07 in ai-infer
ai-infer/serve-asr-1b-07,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve asr 1b 07 in ai-infer
ai-infer/serve-embed-l-07,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve embed l 07 in ai-infer
ai-infer/serve-rerank-s-07,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve rerank s 07 in ai-infer
ai-infer/serve-guard-3b-07,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve guard 3b 07 in ai-infer
ai-infer/serve-summ-8b-07,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve summ 8b 07 in ai-infer
ai-infer/serve-llm-70b-08,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 70b 08 in ai-infer
ai-infer/serve-llm-7b-08,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7b 08 in ai-infer
ai-infer/serve-llm-7712-08,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7712 08 in ai-infer
ai-infer/serve-code-13b-08,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve code 13b 08 in ai-infer
ai-infer/serve-vision-2b-08,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve vision 2b 08 in ai-infer
ai-infer/serve-asr-1b-08,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve asr 1b 08 in ai-infer
ai-infer/serve-embed-l-08,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve embed l 08 in ai-infer
ai-infer/serve-rerank-s-08,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve rerank s 08 in ai-infer
ai-infer/serve-guard-3b-08,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve guard 3b 08 in ai-infer
ai-infer/serve-summ-8b-08,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve summ 8b 08 in ai-infer
ai-infer/serve-llm-70b-09,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 70b 09 in ai-infer
ai-infer/serve-llm-7b-09,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7b 09 in ai-infer
ai-infer/serve-llm-7712-09,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7712 09 in ai-infer
ai-infer/serve-code-13b-09,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve code 13b 09 in ai-infer
ai-infer/serve-vision-2b-09,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve vision 2b 09 in ai-infer
ai-infer/serve-asr-1b-09,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve asr 1b 09 in ai-infer
ai-infer/serve-embed-l-09,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve embed l 09 in ai-infer
ai-infer/serve-rerank-s-09,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve rerank s 09 in ai-infer
ai-infer/serve-guard-3b-09,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve guard 3b 09 in ai-infer
ai-infer/serve-summ-8b-09,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve summ 8b 09 in ai-infer
ai-infer/serve-llm-70b-10,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 70b 10 in ai-infer
ai-infer/serve-llm-7b-10,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7b 10 in ai-infer
ai-infer/serve-llm-7712-10,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7712 10 in ai-infer
ai-infer/serve-code-13b-10,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve code 13b 10 in ai-infer
ai-infer/serve-vision-2b-10,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve vision 2b 10 in ai-infer
ai-infer/serve-asr-1b-10,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve asr 1b 10 in ai-infer
ai-infer/serve-embed-l-10,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve embed l 10 in ai-infer
ai-infer/serve-rerank-s-10,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve rerank s 10 in ai-infer
ai-infer/serve-guard-3b-10,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve guard 3b 10 in ai-infer
ai-infer/serve-summ-8b-10,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve summ 8b 10 in ai-infer
ai-infer/serve-llm-70b-11,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 70b 11 in ai-infer
ai-infer/serve-llm-7b-11,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7b 11 in ai-infer
ai-infer/serve-llm-7712-11,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve llm 7712 11 in ai-infer
ai-infer/serve-code-13b-11,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve code 13b 11 in ai-infer
ai-infer/serve-vision-2b-11,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve vision 2b 11 in ai-infer
ai-infer/serve-asr-1b-11,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve asr 1b 11 in ai-infer
ai-infer/serve-embed-l-11,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve embed l 11 in ai-infer
ai-infer/serve-rerank-s-11,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve rerank s 11 in ai-infer
ai-infer/serve-guard-3b-11,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve guard 3b 11 in ai-infer
ai-infer/serve-summ-8b-11,ai-infer,Deployment,ml-serving,ml-serving,tier-1,internal,serve summ 8b 11 in ai-infer
platform/backup-agent,platform,Deployment,platform,platform,tier-1,internal,backup agent in platform
platform/argocd-repo,platform,Deployment,platform,platform,tier-1,internal,argocd repo in platform
platform/dns,platform,DaemonSet,platform,platform,tier-1,internal,dns in platform
platform/ingress,platform,Deployment,platform,platform,tier-1,internal,ingress in platform
platform/cert-manager,platform,Deployment,platform,platform,tier-1,internal,cert manager in platform
platform/external-dns,platform,Deployment,platform,platform,tier-1,internal,external dns in platform
platform/argocd-server,platform,Deployment,platform,platform,tier-1,internal,argocd server in platform
platform/argocd-application-controller,platform,Deployment,platform,platform,tier-1,internal,argocd application controller in platform
platform/vault-agent-injector,platform,Deployment,platform,platform,tier-1,internal,vault agent injector in platform
platform/oidc-proxy,platform,Deployment,platform,platform,tier-1,internal,oidc proxy in platform
platform/kube-state-metrics,platform,Deployment,platform,platform,tier-1,internal,kube state metrics in platform
platform/cluster-autoscaler,platform,Deployment,platform,platform,tier-1,internal,cluster autoscaler in platform
platform/descheduler,platform,Deployment,platform,platform,tier-1,internal,descheduler in platform
platform/node-problem-detector,platform,Deployment,platform,platform,tier-1,internal,node problem detector in platform
platform/image-pull-cache,platform,Deployment,platform,platform,tier-1,internal,image pull cache in platform
platform/policy-controller,platform,Deployment,platform,platform,tier-1,internal,policy controller in platform
platform/admission-webhook,platform,Deployment,platform,platform,tier-1,internal,admission webhook in platform
platform/cilium-operator,platform,Deployment,platform,platform,tier-1,internal,cilium operator in platform
platform/hubble-relay,platform,Deployment,platform,platform,tier-1,internal,hubble relay in platform
platform/hubble-ui,platform,Deployment,platform,platform,tier-1,internal,hubble ui in platform
platform/tetragon-operator,platform,Deployment,platform,platform,tier-1,internal,tetragon operator in platform
